,yorum,duygu
6556,@turkcell #t70benimolsun turkcelle ful Ceken 4.5 g sUper hIzlI netten anInda videolarI seyreder mUzikleri dinler zamanI dolu dolu yaSarIm |29 |24,olumlu
6557,swap lara geldik |12 turkcell iCin hep destek tam destek |11 |01,olumlu
6558,turkcell farkIyla |37 |37,olumlu
6559,teSekkUrler @turkcell @turkcell # turkcell @turkcellakademi @turkcell,olumlu
6560,ya canIm turkcell |06 |24,olumlu
6561,turkcell 19 mayIs iCin 2 gb veriyor 1 hafta nabeeeeer,olumlu
6562,"turkcell'in UstUn teknolojisini elden test edebilmek, yenilikleri yakinen gOrebilmek iCin #t70benimolsun",olumlu
6563,"kIzlar avea kullanan sevgiliden hayIr gelmez boSverin, sevgili dediGin turkcell kullanmalI...|01 |01",olumlu
6564,bu bir reklam deGildir; sadece 532'li turkcell numarasI kullanan erkek her zaman bir adIm Ondedir |01,olumlu
6565,@campionejk oooo turkcell 4.5 g birde ayfon.. zenginligin tarifi bir ss de gizliymis meger.....,olumlu
6566,"ttnet'ten bilgisayardan izkeyemezsem, aCar turkcell 4.5g'den izlerim internet paketim sana feda olsun ballisi |35 @ofspor",olumlu
6567,"ne zaman internete cok ihtiyacim olsa hemen yardimima yetisiyon, iyi ki turkcelliyim be |01 @turkcell",olumlu
6568,korsan dvd'den daha ucuza gelen sinema... gazi sinemasI.. hele ki turkcell Cift bileti yakaladIysan senden fiyakalasI yoktur.,olumlu
6569,vodafone rezalet ya. turkcell 4.5 g hattImI Ozledim :(,olumlu
6570,"@musasert_ @vodafonedestek yav boSa Cene yorma,anlamaz bunlar.vodafone'u bIrakIp turkcell'e geCtim, internetin ne oldugunu yeni OGrendim |00",olumlu
6571,@vodafonetr hattImI iptal ettirip turkcell'e geCiS yaptIm Cok memnunum. @turkcell Cekim kalitesi Cok iyi.,olumlu
6572,"ttnetciGim kafayI yedin sanIrIm, yine yerlerdesin bugUn, SUkUr ki turkcell 4,5g var!",olumlu
6573,"turkcell kardeS saGolsun 1gb 4.5 g paketi 4gb hoSgeldin paketi, ve 5 gb Ucretini OdediGim internetim olduGu iCin bu ay 10gb internetim var",olumlu
6574,#futbolnegUzelSey turkcell'le maCa gitmek ne gUzel Sey,olumlu
6575,"turkcell toplamda 12 gb Internet hediye etti.. bravo, sUper, devam |00",olumlu
6576,"tUrk telekom'a en az 10 tweet attIm, Sikayetlerimi dile getirdim. adamlar oralI bile olmadI. turkcell'e yazdIk 5 dk demedi hemen cevap geldi",olumlu
6577,hattImI avea'dan turkcell'e taSIdIm. Oyle bir his ki sanki domates ektiGim 3 dOnUmlUk arazime imar izni CIkmIS gibi bir his.,olumlu
6578,"4 senelik vodafone kullanIcIsI olarak turkcell mUSteri hizmetlerini aradIm, vodafone da bOyle samimiyet gOrmedim. turkcell'e geCeceGim :)# turkcell de yeni 4.5g li internet+ses+sms paketlerde 2 kat internet var. 3 gb internetli paket aldIm + 3 gb daha geldi sUpermiS :)",olumlu
6579,denizin ortasInda Ceken internet mi teSekkUrler turkcell |24 |24,olumlu
6580,simdi 10 kiSiye internetim nasil dayanacak... |19 |19  turkcell ayricaligi,olumlu
6581,ay turkcell bana bedava internet vermiS yerim djjdjd,olumlu
6582,23 yIlda indirilen kuran'I 4.5 g ile 20 saniyede telefonuma indirdim. teSekkUrler turkcell.,olumlu
6583,artIk bende hayata turkcell'le baGlanIyorum |18 |18,olumlu
6584,canIm turkcell @turkcell |24,olumlu
6585,gamze doGru yolda hIzla ilerlerken yeniden turkcell'e Sans verdi |24 #turkcellebaglanhayata,olumlu
6586,turkcell lte ile programlarI gUncellemek 1 saniye bile sUrmUyor. teSekkUrler turkcell @turkcell,olumlu
6587,@uaerkut @turkcell kazik olsada turkcell 10 numara |01,olumlu
6588,allah razi olsun 2 gb bedava internet veren turkcell den jshshs,olumlu
6589,yaSasIn turkcell,olumlu
6590,ya canIm turkcell |24,olumlu
6591,"teSekkUrler turkcell teSekkUrler 18gb internet, artIk otobUste film izleyebiliyorum teSekkUrler tUrkiye",olumlu
6592,4 gb internetlik pakete 4 gb da kendi veren turkcell'e saygInlarImI sunuyorum hat gibi hatt diyorum |23 |01 |01,olumlu
6593,3 gb net paketi yapan ben ve onu 10 gb a kadar artIran turkcell kampanyalarI CUnkU can'Im turkcell |24,olumlu
6594,turkcell her ay bana hediye internet veriyor canIm turkcell,olumlu
6595,"teknik altyapI, yatIrIm ve stabil baGlantI olarak kesinlikle turkcell bUyUk iS baSarmIS kabul ediyorum. vodafone ve turktelekom emekliyor...",olumlu
6596,turkcell 19 mayIs diye 2 gb internet hediye etti bi haftalIGIna ne kadar tatlIS bir operatOr |10 |10,olumlu
6597,telefonum bozulunca turkcell t40 kullanmaya basladIm. henUz parmaklarIm alISamadI. Cok sevimli ama keSke pembe olsa :),olumlu
6598,sarI kutu sayesinde 500 mb geldi allah razI olsun turkcell,olumlu
6599,@gookmenkizz CUnkU turkcell'linin gUcU turkcellin Cekim gUcU |11 not:ablan tukcell'li bebeGim |18 |18,olumlu
6600,turkcell bedava 5 gb verdi be |01 |01 |01,olumlu
6601,"internet paketimin yenilenmesine 1 hafta kala bitmesi, o gUnde turkcell'in 1 haftalIk 2gb hediye vermesi |24 |24 |24 |24 |24 |24",olumlu
6602,19 mayIs diye 2 gb hediye internet veren # turkcell adamsIn |28,olumlu
6603,bu gUn birkez daha iyiki turkcell im dedim mobil internetimi yine ikiye katladI teSekkUrler @turkcell,olumlu
6604,turkcell'e aSIgIm yaa.. bi 4.5g'ye geCildi..yaGdIrIyor kurban olduGum.. |00 |00 |00,olumlu
6605,turkcell mUzik projemize ilk sIrada yer verdi. teSekkUr ederiz.,olumlu
6606,vee tabii ki ttnet ve tivibu deneyiminden sonra adeta CaG atlamanIn adI -----> turkcell tv,olumlu
6607,son gUnlerde turkcell Uzerine sosyal medya da yUrUtUlen karalama kampanyasIna katIlmadIGImI ve turkcell tUrkiye'nin en iyi operatOrU dUr.,olumlu
6608,"o deGil de turkcell platinum mUSteri hizmetleri Cok iyi abi, ara kek tarifi sor yeminle 1 saat anlatIrlar",olumlu
6609,turkcell bu sene Cok bonkOr her ay 9 gb internet oluyor telefonda |01,olumlu
6610,turkcell adamdIr 12 gb internet oldu mancunii,olumlu
6611,bitmeyen internet paketim var :( # turkcell #100gb,olumlu
6612,tesekkurler # turkcell ;),olumlu
6613,allaaaaah turkcell internet hediye etmiS ;)));))),olumlu
6614,Itina ile avea dan turkcell e geCilmiStir. hayIrlI olsun.,olumlu
6615,20 senelik gsm operatOrUmU hiC gOzUnUn yaSIna bakmadan deGiStirdim. ne zamanki sansar! 'lardan vaz geCerler.geri zevkle gelirim. # turkcell,olumlu
6616,gsm servisim.sIrayla vodafone avea vodafon turkcell turk telekom kullandIm.turkcell tIrnaGI olamazsInIz.@ turk_telekom @turkcell @vodafonetr,olumlu
6617,19 mayIsta bana hediye 2gb gOnderen turkcell thank you,olumlu
6618,turkcell bOyle her ay dOnUmUmUzU kutlayIp hediyeler gOndercekse SImarcam ama. sevgili boSluGumu doldurmaya baSladI saGolsun,olumlu
6619,saat 05:36 itibariyle yedi sene sonra yeniden # turkcell kullanmaya baSladIm..,olumlu
6620,gUnaydIn. turkcell hesabimda 7gb internetim oldugunu ogrendigim gUne merhaba |41 depresyondan ciktim sanirim,olumlu
6621,vodafone kullanmayIn pahalI da olsa turkcell kullanIn,olumlu
6622,"#bUtUnkalbimlediyorum #tUrktelekom allah belanI versin,tUm batIkaradeniz turu boyunca # turkcell cayIr cayIr Cekerkn bni ellere mahkum ettin",olumlu
6623,#bUtUnkalbimlediyorum #turktelekom sana geCtiGim gUne lanet olsun # turkcell beni affet seni terkettiGim iCin Cok piSmanIm,olumlu
6624,@turkcell li tebrik ediyorum daG bayIr heryerde Cekiyor. bu Ulkede yaSIyorsak mutlaka turkcell kullanmak Sart.,olumlu
6625,"kOye gidiyorum telefon Cekmeyecek , bUtUn baGlantIm kesilcek diye isyanlara girerken babamIn turkcell hat alIp gelmesi bUyUk sUrpriz |24",olumlu
6626,kayseri'ye geleceksiniz turkcell hat bulun,olumlu
6627,canIm turkcell bana hediye 11gb verdi Cok mutluyum,olumlu
6628,turkcell bitane ya |01 |01 hemen arayIp ilgileniyorlar falan vazgeCtim geCmiyorum turk telekoma felan |01,olumlu
6629,@dilekkaranartal ay turkcell iyi aslInda ya |01,olumlu
6630,@dilekkaranartal ablaaa babam turkcell den general mobile 5 plus d almIS ay tukseli Simdi sevdim |01,olumlu
6631,@aslIhankutay hayIrlIsI artIk |43 ama turkcell iyidir |43,olumlu
6632,4.5 tl'ye 1gb yaptIm canIm turkcell,olumlu
6633,"dostlar turkcell tv+ premier ligin haklarInI almIS. Su an manchester derbisini tUrkCe anlatIm olarak izleyebilirsiniz, nefis!",olumlu
6634,"Turkcell'in su Bedava Sahur Internet paketini cok sevdim, cok sevap points kazanıyorsun valla.",olumlu
6635,Turkcell'i seviyorum ya arada bi  30 dk bedava verip kıyak geçiyo falan iyi yani.bb,olumlu
6636,Heryaz döneminde olduğu gibi bu yazda yine almanya teklifi gelmeye başladı bu defa damardan girdiler TURKCELL EUROPE...,olumlu
6637,"250 MB internet. Turkcell ilk defa faydalı bi şey yapıyor, hayret.",olumlu
6638,Turkcell'in işletmelere yönelik İşteKazan programı 2011 Nisan'dan beri 20 milyon TL indirim dağıtırken ortaklar 250 milyon TL ciro yapmış..,olumlu
6639,"Turkcell'in sahibi olsam ""ulan kıymetinizi bilin amk bizde olmasak mesaj atanınız yok yalnızlar"" diye mesaj atardım abonelere.",olumlu
6640,"Turkcell in http://bavul.com  baya basarili olmus tebrikler, simdilik gordugum tek eksik terminallerin detaylari yok...",olumlu
6641,İLGİLİLERE DUYRULUR ! O veya bu nedenle ödeyemediğiniz @Turkcell faturalarınızın yükünü sizinle paylaşıyoruz .. http://www.turkcell.com.tr/bireysel/yardim/Sayfalar/Duyurular/faiz-indirimi-uygulamasi.aspx …,olumlu
6642,@dincka77 tr den bence en buyuk ornek Turkcell-im idi.. Zamanında cok para harcamıştı Turkcell..,olumlu
6643,Bir turkcell'li olarak avea'nin bana kampanya mesajlari atmasindan hic hosnut degilim. Kendimi operatorumu aldatiyor gibi hissediyorum,olumlu
6644,İtunes Store da parça başına 0.89 TL istiyorlar lan Turkcell Müzikde 300 şarkı 5 TL :),olumlu
6645,Süper 2 haber iTunes Türkiye açıldı. iPhone 5 14 Aralık'ta Turkcell ile geliyor.,olumlu
6646,@popiliadam Usain Bolt + CR7 = Turkcell'in 3g hızı.,olumlu
6647,Turkcell twitterî bedava yaptı vodafoneda feysi bedava yapsin mk,olumlu
6648,Turkcell - Turkcell'lilere biletin %50’si kadar Yolkart puan hediye! http://tinyurl.com/9pkdwt5,olumlu
6649,@emre12ozkan günaha girmezsin de caiz değil :) turkcell müzikten dinle abiii :)))),olumlu
6650,Turkcell smsimi yeniledi lan oha haha,olumlu
6651,TT Net devri kapandı. Artık Turkcell Superonline var. Saygılar.,olumlu
6652,"TURKCELL MÜZİK""TEN TÜRKÜLERİMİ...İNDİREBİLİRSİNİZ http://fb.me/1USTJSH4j",olumlu
6653,Bütün sınıfım turkcell kullanırken avea kullanmak...Azınlık gibi hissediyorum kendimi,olumlu
6654,"Turkcell den çok ince modem: Turkcell'in yeni 3G modemi, inceliği ve hafifliğiyle sizi şaşırtacak! İşte özellikleri... http://bit.ly/TT0vpN",olumlu
6655,"Turkcell TV iyiymiş yalnız, tivibu dan güzel bilgisayar için",olumlu
6656,lan benim face paketimin 2 gün önce bitmesi lazımdı turkcell kankim bana kıyak geciyo valla mis,olumlu
6657,"@Objeektif #Simdidüşünüyorumda sen vodafon gibi anı yaşarken,ben turkcell gibi seni her yerde çekemem",olumlu
6658,@alialigenc tabı kı turkcell :D,olumlu
6659,Turkcell'den çok ince modem http://dlvr.it/25gWK6,olumlu
6660,"Turkcell'in yeni 3G modemi, inceliği ve hafifliğiyle sizi şaşırtacak! İşte özellikleri… http://www.chip.com.tr/haber/turkcell-den-ince-ve-hafif-3g-modem_35706.html …",olumlu
6661,Az önce benim eskisi mesaj attı yok geri dön falan.. Yok dedim Vodafone'cuğum ben Turkcell'le çok mutluyum düzeyli bir birlikteliğimiz var..,olumlu
6662,turkcell durumumu farketti. mesaj göndermiyo. tişikkirlir.,olumlu
6663,Turkcell’den “Akıllı Telefon Hareketi” http://www.teknolojide.com/turkcell-den- “akilli-telefon-hareketi”_6824.aspx,olumlu
6664,Turkcell lilere twitter bedavaymış abi . Babamın hattı ödün/ç/aldım 2 saatliğine . Mobilde akıyorum :),olumlu
6665,Turkcell'de akıllı telefonlar 339 TL'den başlayan fiyatlarla http://dlvr.it/25dm9K,olumlu
6666,Turkcell bedava 20 şarkı indirme hakkı kazandığımı söyledi huhuuuuuuuuuu,olumlu
6667,Fanlardan başka kimi arıyım ? Turkcell olcak ama :D,olumlu
6668,Ahahah artık turkcell bızı aradı oyle konusuyoz sdasdsa,olumlu
6669,"L> Turkcell Superonline dan Kotaya Çözüm!: Turkcell Superonline'ın yeni internet paketleri, 'kotam bitti' sorunu... http://bit.ly/Lo8Mim",olumlu
6670,"@gnctrkcll @tubaslc Turkcell'linin gücü, Turkcell'in çekim gücü, yaşasın!",olumlu
6671,SunExpress'ten Turkcell'lilere Dış Hatlarda %20 İndirim  http://www.havayolufirsatlari.com/sunexpress-turkcelllilere-dis-hatlarda-yuzde-20-indirim …  #SunExpress #Turkcell #indirim,olumlu
6672,"Turkcell Superonline'ın yeni internet paketleri, ""kotam bitti"" sorununu bakın nasıl çözüyor... http://bit.ly/M1C3C9",olumlu
6673,"Ttnet yine kesildi, Turkcell mobil internet gibisi yok ;)",olumlu
6674,"Sen Wodafone gibi anı yaşarken, Ben Turkcell gibi seni her yerde çekemem!!",olumlu
6675,"iyi de vodafon, o acaip kutu dediğin şey yıllardır turkcell'de zaten vardı?",olumlu
6676,Turkcell sarı kutu muhabbetinde migros hediyesi icin kampanya mesajini bilen varmi?,olumlu
6677,Bilmedigim bir nedenden dolayi internet paketim oldugunu fark ettim tesekkurler turkcell :D,olumlu
6678,yıllarca turkcell için attım tutamadım yeri geldi küfrettim ama bugün 196liralık alışverişimi 93liraya getirdin yaa ilk defa siviyorumm seni,olumlu
6679,@yokcanimm katılıyorum hayır turkcell gidiyor millete telefon falan dağıtıryor bu değirmenin suyu nerden nerden derken :D -8lerden tabii,olumlu
6680,Turkcell Müzik'te Mustafa Ceceli-Gizli şarkısını dinliyorum. Sen de dinlemek istersen;  http://trcll.im/4bwBA,olumlu
6681,THY ve Turkcell yurtdisindaki firmalardan daha kaliteli is yapiyor buna eminim,olumlu
6682,Turkcell 6156 puan için teşekkürler. Sarı kutudan hediye seçmece,olumlu
6683,Whatapp internet paketsiz wifisiz kullanıyorum turkcell olmak ayrıcalıktır dıyorum .,olumlu
6684,Internet paketim bitmisse saat kac olursa olsun itina ile acik Turkcell bayisi bulur ve kontor alirim. O paket yenilenecek arkadas! O,olumlu
6685,Okey Deluxe'te Turkcell Müzik keyfiyle okey oynuyorum. http://fb.me/1HNhRGVRL,olumlu
6686,Turkcell\'liye P indirim http://www.medyatube.net/reklam/turkcell--liye-50-indirim …,olumlu
6687,"o değil de, iki gündür twitter.a giriyorum, turkcell bi kuruşumu yemedi. turkcellcim çok öptüm.",olumlu
6688,İki gün sonra Turkcell'le bağlan hayataaa :),olumlu
6689,Gecenlerde No'lari Turkcell yedeklemeyle geri aldim orta 1den itibaren fln geri verdi numaralarimi bu ne ya sil sil bitmiyo uff,olumlu
6690,turkcell 120 şarkı verdi hediye kendin seç indir dedi vay be :),olumlu
6691,Turkcell sen adamın dibisinn..,olumlu
6692,Turkcell İletişim Merkezi Hakem Elektronik teknoloji uzmanı Ümit Akar'ı kutluyorum! sorun yumağı haline getirdiğim pc mi kurtardığı için:),olumlu
6693,güvenli turkcell  http://yfrog.com/es54dnaj,olumlu
6694,Turkcell musteri hizmetlerinden twitter uzerinden bile yardim alabiliyorsunuz. Bravo turkcell!!,olumlu
6695,Turkcell'den ucretsiz erisim.,olumlu
6696,turkcell bedava 120 şarkı indirme linki gönderdi ay lav yu turkcell,olumlu
6697,"Türkiye'nin en hızlı 3G birincisi 11,91 Mbps gibi yüksek bir sonuç ileTurkcell oldu.",olumlu
6698,"Turkcell in yeni reklami super olmus, harvard li emily vs. harran li emine",olumlu
6699,Harvard'lı Emily ne acılar çekmiş o konferansı 10 saniye sonra indirdi diye.Harran'lı Emine'ye sağladığın imkanlar için teşekkürler Turkcell,olumlu
6700,BİM CELL'E GEÇMEYİ #Düşünüyorumda SONRA TURKCELL'İN YENİ KAMPANYALARINI GÖRÜNCE #ayaroluyorum,olumlu
6701,"mesajlastigim herkes turkcell olsa da her ay sms paketini her yone yapicam diye dusunuyorum, unutup pisman oluyorum sonra onu da unutuyorum.",olumlu
6702,Eyyy Türkiye'nin en gözde telefon operatörü hattımı hemen taşıyın Turkcell'e ki İ-Phone mi alayım. Başvurdum bugün @TurkcellHizmet,olumlu
6703,Kamil Koç'un Turkcell kampanyası ile aldım bileti. Dönüş bileti %50 indirimli. Ankara'dan gidecekler varsa kampanyalı koltuklar var daha.,olumlu
6704,Vodafone iyisin hossunda bir şahan bulun kardesim cok eziliyoruz turkcell karsisinda,olumlu
6705,Turkcell oz elestirisini reklamda yapio masallah cok duyarli,olumlu
6706,'Sizce de bir nesil Turkcell'le büyümedi mi?' Turkcell markasının sosyal medya kullanımını inceleyen yazım http://imcyeditepe.blogspot.com  @Turkcell,olumlu
6707,"Evde kablonet ve smile var. Kablonetin calistigini hic gormedim, bugun smile da yok. Iphone turkcell'le canavar, ipad vodafone'la iptal.",olumlu
6708,aylık internet paketim 49MB kalmış bilgilendirdiğin için teşekkürler turkcell tek aşkımsın .,olumlu
6709,Turkcell'in kendiyle dalga gecen Öztürk reklamı cok iyi olmuş :) ama bence @Morhipo nun Demet&Hande lı reklamları is the new #Sneakers,olumlu
6710,Şahan Gökbakar'ın sevimli bi karakter yaratabileceğini hele Turkcell'in itici olmayan bir reklam yapabileceğini asla düşünmezdim ama...,olumlu
6711,turkcell'in son reklamını yapanı bulup alnından öpesim geldi!,olumlu
6712,Hahahahah turkcellin kendi duygusal reklamlarinin ardindan ozturk bey reklamlari yapmasina bayiliyorum @Turkcell @TurkcellHizmet,olumlu
6713,Turkcellin Artık Reklamlarındaki Felsefe Şu:Biz Kendimizden Başka Rakip Tanımıyoruz.Turkcell vs ÖzTürkcell.,olumlu
6714,Bu turkcell beni çok seviyor sanırım ya yine bedava sms gönderdii.,olumlu
6715,Galatasaray'ı seviyorum Turkcell'i de seviyorum ikisi birleşince daha bi seviyorum.,olumlu
6716,turkcell aştı kendini kızııım ne sandın seni de bekliyoruz operatörümüze :),olumlu
6717,2 defa kredi transferinde heryöne 60 dakika ve 180 sms hediye! Tesekkurler Turkcell kedi olalı bi fare tuttun :),olumlu
6718,Bugün internet pakedimin bitiyo olması lazımdı yenilemem için mesj falanda geldi ama hala bitmedi turkcell bana aşık,olumlu
6719,Turkcell: Ben -8 e kadar limit veriyorumVodafone: Ben -5 e kadar limit veriyorumAvea: Bizde veresiye yook :),olumlu
6720,turkcell olmanın vakti gelmişti oldum -.-,olumlu
6721,TURKCELL BENİM VE MÜŞTERİLERİNİZİN MEMMUNİYETİNİ SAGLAYAN ÇALIŞANLARIZA AYRICA TEŞEKKÜRÜ BORÇ BİLİRİM HEMEN VE ANINDA DÖNMENİZİ TEBRİK ETTİM,olumlu
6722,rehbere baktim olanlar portin yapmis turkcell kullanicisi olmuslar mavideki calisanlara sordum turkcell kullaniyorlar.,olumlu
6723,Turkcell'de her derde deva '2222' gibi bir numara varken Vodafone'da niye öyle bir olay yoktur ki.,olumlu
6724,Turkcell'den pek haz etmem ama vapurlara gazete standi fikrini sevdim.,olumlu
6725,Turkcell anladi derdimden zor durumda oldugumu falan o yuzeen 3000sms yolladi,olumlu
6726,Turkcell 4 çeker One Direction çook şekeer ¦ :D,olumlu
6727,Beni çok mutlu ettin Turkcell birde hayrına 20 Tl at. :D,olumlu
6728,"Turkcell bana hediye konuşma ve sms hakkı verdi, canımsın turkcell",olumlu
6729,Ooo her yone bedava 1000 sms im varmiss Turkcell olmaayanlar atsin numaralarinii:),olumlu
6730,Oha Turkcell bana bu iyiliği yapmış olamazsın. Çok şaşırdım. :D Keşke başka bir şey isteseydim yahu. :(,olumlu
6731,Msjlaşmayı seven arkadaşlar turkcell e geçin 12 ay boyunca turkcellilerle beleş 5000 sms kazanın :) yani numaranızı taşıyınca...,olumlu
6732,"Sevgili Avea!Yeni reklamin yine Turkcell in buyuklugunu kabul eder sekilde olmus!Evet Turkcell 4 ceker,havada, karada,denizde ve gonullerde.",olumlu
6733,Turkcell 4 çeker çağatay çok şeker :)),olumlu
6734,aveanın yeni reklamı çok sağlam bir gönderme olmuş onlar açısından başarılı ama her zaman her yerde Turkcell,olumlu
6735,VAN yazıp 5283'e SMS atin; kumbarada biriksin Van'da egitime gitsin #TurkiyeKumbarasi Turkiye'nin Turkcell'i ile gelecegi paylasinca guzel!,olumlu
6736,"Turkcell'in neden lider olduğunu anlamak için kanyon avm deki TİM e gidin. İyi ki varsın Turkcell, yoksa digerlerinin eline kalacaktik !",olumlu
6737,Türk Telekom Ankara'da kendi kulesinin temelini atarken Turkcell Van'da eğitime desteğin temelini atıyor. Bravo Turkcell.,olumlu
6738,Siz de VAN yazıp 5283'e SMS göndererek 5TL bağışta bulunabilirsiniz. Teşekkürler TURKCELL....,olumlu
6739,"Aslinda Avea ve Vodafone, Turkcell'in ezici ustunlugunu kabul edip onunde egilmeleri gerek.",olumlu
6740,Turkcell Gold müşteri hattı harikaymış...  MT ile görüşürseniz 40 kuruş alıyor arkadaşlar. Yani MT'nin değeri 40 kuruş. Hizmetin de öyle...,olumlu
6741,her yöne de 90 dakikam var. turkcell bana çalışıyor.,olumlu
6742,Turkcell Müzik'te Gökhan Tepe - Adı Aşk Olsun şarkısını dinliyorum. http://trcll.im/PNqSN,olumlu
6743,Turkcell Müzik'te Göksel - Hasretinle Yandı Gönlüm şarkısını dinliyorum. Yapma be goksell http://trcll.im/W83t3,olumlu
6744,Internet paketim yok wechatten yazilanlar geliyo turkcell bna kiyk gecti .s.s.s,olumlu
6745,1GB HD video Turkcell 4G ile 38 saniyede indirildi. Rekoru canlı izliyoruz. enveraysever2,olumlu
6746,şimdi turkcell tarafından sahurdan sonra bedava ınternet paketı alanlar tweetrda he :),olumlu
6747,"Eve internet bağlatmak şart. Bir Turkcell'li olarak kendime TTNET'i yakıştıramıyorum ama maalesef fiber altyapı TTNET var, Superonline yok.",olumlu
6748,"Türklerin aşkla bağlandığı ilk 10 marka:Turkcell,TTNET,Nokia,Samsung, Arçelik,CocaCola,İstikbal,Omo,Casper, Elidor. @MediaCat @IpsosTurkiye",olumlu
6749,"Turkcell 4 çeker, baran  çok seker :DDD BAK BAK İLTİFATA BAAK :DDS",olumlu
6750,"Bugün telefonda konuştuğum Turkcell Müşteri Temsilcisi Büşra hanım beni bul ne olur :D kapatırken ""Kendinize iyi bakın"" dedi. Deli ya??",olumlu
6751,Turkcell kankim bana 10 tl bedava verdi,olumlu
6752,Turkcell Müzik'te Queen - You Don't Fool Me şarkısını dinliyorum. http://turkcellmuzik.com,olumlu
6753,turkcell 4 çeker fenerli kızlar çok şeker :DASD:,olumlu
6754,Turkcell teyzeye araba kullandirarak ne guzel anlatms internet hizini yanniz porshce kimi temsil ediyo?Onuda soraki reklamda anlicaz heralde,olumlu
6755,Bi turkcell kadar olamazdınız sizden daha çok halimi hatrımı soruyor ayıp size.,olumlu
6756,Turkcell torpil mi gecio bana nedir.bitsin diye ugrastikca bitmeyen bi internetim var.,olumlu
6757,Bu gece gülümsememi sağlayan Turkcell Profesyonel Club reklamı ve işler güçler ekibi tabii,olumlu
6758,"Vee bir işler güçler, turkcell, Acun birlikteliğiii.. Profesyoneller kulübü işleri pek keyifli idi ama Acun olmamış..,",olumlu
6759,"Turkcell iletişim ve teknoloji ile fırsat eşitliği sağlayıp,  toplumumuzun ekonomik-sosyal gelişimine katkıda bulunuyor. #SesiGörenler",olumlu
6760,@TTNETdestek Sorun ttnet kaynaklı turkcell de girdiğimizde ulaşılıyor. TTNET deki sorun nedir,olumlu
6761,Turkcell Müzik'te Linet - Eylül Akşamı şarkısını dinliyorum. http://trcll.im/Obfti,olumlu
6762,Vodafonee hattı belamı sıktı Turkcellı taktım yine Turkcell acık artık,olumlu
6763,Bu kadar heryone dakıkası olan varmı aranızda ?? :D aahahah eyv turkcell Gömülü resim için kalıcı bağlantı,olumlu
6764,#EnGüzelDost Turkcell'dır “Bugun bılmem ne kadar mesaj yolladın 23:59`a kadar BENDENSIN” bıldırısı dostlugun dıbıdır»»»,olumlu
6765,Turkcell Müzik'te Gülşen - Kendine Müslüman şarkısını dinliyorum. http://trcll.im/SAm3W,olumlu
6766,Turkcell'e helal olsun. Polisin bütün jammer faaliyetlerine rağmen her yere arabalarını gönderip ailemizle iletişime geçmemizi sağladı.,olumlu
6767,GÜNDOĞDUDA JAMMER VAR AVEA HATLARDA NE MOBIL AG NEDE 3D KESINLIKLE CEKMIYOR. TEK TURKCELL CEKIYOR HABERINIZ OLSUN #direnalsancak,olumlu
6768,Alsancaktan çankaya geçmemle beraber 10 cevapsız arama 10 msaj ve büsürü bildirim ve TURKCELL Kullanıyorum. bu cekmıyorsa diğerleri hiç çkmz,olumlu
6769,Gundogdu'da turkcell harici telefonlarda internet cekmiyordu bugun Gömülü resim için kalıcı bağlantı,olumlu
6770,TURKCELL İZMİRE JAMMERLARA KARŞI SAHİLE SİNYAL GÜÇLENDİRİCİ KOYMUŞ. TEŞEKKÜRÜ BORÇ BİLİRİZ. Gömülü resim için kalıcı bağlantı,olumlu
6771,Turkcell Müzik'te Emre Altuğ - Zil şarkısını dinliyorum. http://trcll.im/8Klkt,olumlu
6772,Turkcell 4 ceker bu kiz cok seker. Neysa ben uyuyayim biraz. Cümlemize. Iyi geceler. Kültürsüz pezolar hariç. @JamaL1133,olumlu
6773,"Okan turkcell e geçmiş , Emreyle beraber ilk ödemeliyi biz attık gece gece :D :D",olumlu
6774,TURKCELL Lİ OLARAK İLK TİVİTİM,olumlu
6775,Turkcell Superonline’a Boston'da “Mükemmeliyet” Ödülü http://turkavenue.com/teknoloji/yeni-girisimler/4499-turkcell-superonlinea-bostonda-mukemmeliyet-odulu.html …,olumlu
6776,"kız arkadaşıma hangi hattı kullanıyorsun dedim. avea, sen dedi. turkcell dedim bende. bu kadar yani. turkcelli olmak önemli.",olumlu
6777,Turkcell Superonline’a “mükemmeliyet” ödülü - Hürriyet EKONOMİ http://www.hurriyet.com.tr/ekonomi/25036254.asp …,olumlu
6778,Turkcell Müzik'te Ziynet Sali - Dolaşayım Damarlarında şarkısını dinliyorum. http://trcll.im/vzEjQ,olumlu
6779,Turkcell Superonline “Hall of Fame” ödülünü kazanan ilk Türk telekomünikasyon şirketi oldu! http://goo.gl/fb/qRZkT,olumlu
6780,"Turkcell Platinum ayrıcalıkları artık cebimde!Sinema bileti avantajları ile, sinema keyfi yaşamak çok kolay.http://trcll.im/platinum",olumlu
6781,Turkcell Müzik'te Kazım Koyuncu-Gelevera Deresi şarkısını dinliyorum. Sen de dinlemek istersen;  http://trcll.im/TXQAk,olumlu
6782,Turkcell Müzik'te Müslüm Gürses - Sezen Aksu - Sebahat Abla şarkısını dinliyorum. http://turkcellmuzik.com,olumlu
6783,Emina ve Mustafa Sandal'ın turkcell reklamına bayılıyorum ya :D çok yakışıyolar valla,olumlu
6784,Turkcell pahali falan ama dandik degilmis yeni farkettim,olumlu
